단축코드,한글 종목약명
000430,대원강업
048910,대원미디어
005710,대원산업
006345,대원전선우
006340,대원전선
003220,대원제약
024890,대원화성
290380,대유
002880,대유에이텍
000300,대유플러스
120240,대정화금
003310,대주산업
114920,대주이엔티
078600,대주전자재료
015230,대창단조
012800,대창
096350,대창솔루션
140520,대창스틸
131220,대한과학
010170,대한광통신
054670,대한뉴팜
001070,대한방직
023910,대한약품
006650,대한유화
001440,대한전선
084010,대한제강
001795,대한제당우
001790,대한제당
001130,대한제분
003495,대한항공우
003490,대한항공
005880,대한해운
003830,대한화섬
016090,대현
069460,대호에이엘
021040,대호특수강
021045,대호특수강우
067080,대화제약
043090,더테크놀로지
298540,더네이쳐홀딩스
032860,더라미
475560,더본코리아
192080,더블유게임즈
393890,더블유씨피
299170,더블유에스아이
089230,THE E&M
012510,더존비즈온
224060,더코디
302920,더콘텐츠온
213420,덕산네오룩스
317330,덕산테코피아
077360,덕산하이메탈
004835,덕성우
004830,덕성
090410,덕신이피씨
024900,덕양산업
263600,덕우전자
194480,데브시스터즈
373160,데이원컴퍼니
263800,데이타솔루션
199150,데이터스트림즈
206560,덱스터
261200,덴티스
145720,덴티움
227420,도부
067990,도이치모터스
002150,도화엔지니어링
006620,동구바이오제약
005160,동국산업
460850,동국씨엠
075970,동국알앤에스
100130,동국S&C
460860,동국제강
086450,동국제약
001230,동국홀딩스
004140,동방
099410,동방선기
007590,동방아그로
005965,동부건설우
005960,동부건설
026960,동서
002210,동성제약
102260,동성케미컬
033500,동성화인텍
025950,동신건설
000640,동아쏘시오홀딩스
170900,동아에스티
088130,동아엘텍
028100,동아지질
041930,동아화성
001525,동양우
001527,동양2우B
084670,동양고속
001520,동양
082640,동양생명
060380,동양에스텍
079960,동양이엔피
008970,동양철관
228340,동양파일
092780,동양피스톤
088910,동우팜투테이블
094170,동운아나텍
049770,동원F&B
013120,동원개발
018500,동원금속
006040,동원산업
030720,동원수산
014825,동원시스템즈우
014820,동원시스템즈
111380,동인기연
163560,동일고무벨트
109860,동일금속
032960,동일기연
004890,동일산업
023790,동일스틸럭스
002690,동일제강
005290,동진쎄미켐
025900,동화기업
000020,동화약품
000155,두산우
000157,두산2우B
454910,두산로보틱스
241560,두산밥캣
000150,두산
034020,두산에너빌리티
131970,두산테스나
33626K,두산퓨얼셀1우
33626L,두산퓨얼셀2우B
336260,두산퓨얼셀
016740,두올
073190,듀오백
176750,듀켐바이오
030350,드래곤플라이
203650,드림시큐리티
223250,드림씨아이에스
060570,드림어스컴퍼니
362990,드림인사이트
192650,드림텍
016670,디모아
187870,디바이스이엔지
456440,DB금융스팩11호
477760,DB금융스팩12호
489730,디비금융제13호스팩
024090,디씨엠
003160,디아이
092200,디아이씨
110990,디아이티
004840,DRB동일
263690,디알젬
214680,디알텍
347850,디앤디파마텍
377190,디앤디플랫폼리츠
263720,디앤씨미디어
376300,디어유
241520,DSC인베스트먼트
109740,디에스케이
031860,디에이치엑스컴퍼니
290120,DH오토리드
025440,DH오토웨어
196490,디에이테크놀로지
066900,디에이피
180400,DXVX
127120,디엔에이링크
092070,디엔에프
007340,DN오토모티브
068790,DMS
039840,디오
219550,디와이디
013570,디와이
310870,디와이씨
210540,디와이파워
104460,디와이피엔에프
079810,디이엔티
113810,디젠스
043360,디지아이
099520,DGI
197140,디지캡
068930,디지털대성
033130,디지틀조선
060900,DGP
105740,디케이락
263020,디케이앤디
290550,디케이티
066670,디티씨
187220,디티앤씨
383930,디티앤씨알오
131180,딜리
315640,딥노이드
223310,딥마인드
317120,라닉스
462510,라메디텍
042510,라온시큐어
232680,라온테크
418420,라온텍
300120,라온피플
171120,라이온켐텍
388790,라이콤
347700,라이프시맨틱스
214260,라파스
403360,라피치
171010,램테크놀러지
084650,랩지노믹스
217500,러셀
092590,럭스피아
038390,레드캡투어
294140,레몬
443250,레뷰코퍼레이션
228670,레이
228850,레이언스
412350,레이저쎌
199550,레이저옵텍
281740,레이크머티리얼즈
277810,레인보우로보틱스
215100,로보로보
090360,로보스타
238500,로보쓰리에이아이
108490,로보티즈
900260,로스웰
223220,로지스몬
067730,로지시스
071280,로체시스템즈
032350,롯데관광개발
089860,롯데렌탈
330590,롯데리츠
000400,롯데손해보험
023530,롯데쇼핑
020150,롯데에너지머티리얼즈
280360,롯데웰푸드
286940,롯데이노베이트
004000,롯데정밀화학
00499K,롯데지주우
004990,롯데지주
005305,롯데칠성우
005300,롯데칠성
011170,롯데케미칼
071840,롯데하이마트
328130,루닛
038060,루멘스
474170,루미르
162120,루켄테크놀러지스
253610,루트락
141080,리가켐바이오
058470,리노공업
016100,리더스코스메틱
012700,리드코프
302550,리메드
073570,리튬포어스
377450,리파인
277070,린드먼아시아
042500,링네트
193250,링크드
219420,링크제니시스
439090,마녀공장
027740,마니커
195500,마니커에프앤지
357430,마스턴프리미어리츠
377480,마음AI
305090,마이크로디지탈
448780,마이크로엔엑스
424980,마이크로투나노
169330,엠브레인
038290,마크로젠
001080,만호제강
267980,매일유업
005990,매일홀딩스
093520,매커스
377030,맥스트
088980,맥쿼리인프라
179720,머니무브
100590,머큐리
067280,멀티캠퍼스
072870,메가스터디
215200,메가스터디교육
133750,메가엠디
446540,메가터치
235980,메드팩토
200580,메디쎄이
041920,메디아나
233250,메디안디노스틱
014100,메디앙스
236340,메디젠휴먼케어
054180,메디콕스
086900,메디톡스
078160,메디포스트
138040,메리츠금융지주
408920,메쎄이상
021880,메이슨캐피탈
140410,메지온
241770,메카로
090370,메타랩스
059210,메타바이오메드
118000,메타케어
058110,멕아이씨에스
017180,명문제약
009900,명신산업
012690,모나리자
005360,모나미
070960,모나용평
434480,모니터랩
080420,모다이노칩
417970,모델솔루션
080160,모두투어
087260,모바일어플라이언스
101330,모베이스
012860,모베이스전자
363260,모비데이즈
348030,모비릭스
250060,모비스
288980,모아데이타
142760,모아라이프플러스
033200,모아텍
333050,모코엠시스
009680,모토닉
118990,모트렉스
006920,모헨즈
038340,MIT
001810,무림SP
009200,무림페이퍼
009580,무림P&P
322970,무진메디
033920,무학
008420,문배철강
279600,미디어젠
095500,미래나노텍
254490,미래반도체
025560,미래산업
218150,미래생명자원
007120,미래아이앤지
396690,미래에셋글로벌리츠
442900,미래에셋드림스팩1호
357250,미래에셋맵스리츠
094800,맵스리얼티1
100790,미래에셋벤처투자
446190,미래에셋비전스팩2호
448830,미래에셋비전스팩3호
477380,미래에셋비전스팩4호
477470,미래에셋비전스팩5호
478440,미래에셋비전스팩6호
482680,미래에셋비전스팩7호
085620,미래에셋생명
006805,미래에셋증권우
00680K,미래에셋증권2우B
006800,미래에셋증권
208890,미래엔에듀파트너
049950,미래컴퍼니
207760,미스터블루
002840,미원상사
268280,미원에스씨
107590,미원홀딩스
134380,미원화학
351020,미쥬
003650,미창석유
059090,미코
214610,미코바이오메드
201490,미투온
475460,미트박스
452200,민테크
418470,밀리의서재
206640,바디텍메드
018700,바른손
035620,바른손이앤에이
354390,바스칸바이오제약
053030,바이넥스
301300,바이브컴퍼니
377740,바이오노트
064550,바이오니아
314930,바이오다인
208710,바이오로그디바이스
086820,바이오솔루션
038460,바이오스마트
251120,바이오에프디엔씨
199730,바이오인프라
266470,바이오인프라생명과학
289170,바이오텐
086040,바이오톡스텍
199290,바이오프로테크
099430,바이오플러스
032980,바이온
308080,바이젠셀
043150,바텍
323990,박셀바이오
003610,방림
267790,배럴
001340,백광산업
046310,백금T&A
035150,백산
331520,밸로프
199480,뱅크웨어글로벌
438700,버넥트
066410,버킷스튜디오
002410,범양건영
382900,범한퓨얼셀
206400,베노티앤알
019010,베뉴지
177350,베셀
457600,벡트
424760,벨로크
007210,벽산
225530,보광산업
250000,보라티알
002760,보락
003850,보령
310210,보로노이
006910,보성파워텍
000890,보해양조
226340,본느
206950,볼빅
008470,부스타
003000,부광약품
001275,부국증권우
001270,부국증권
026940,부국철강
014470,부방
011390,부산산업
005030,부산주공
338220,뷰노
100120,뷰웍스
406820,뷰티스킨
337930,브랜드엑스코퍼레이션
099390,브레인즈컴퍼니
064480,브리지텍
288330,브릿지바이오테라퓨틱스
365900,브이씨
089970,브이엠
251630,브이원텍
018290,브이티
478560,블랙야크아이앤씨
439580,블루엠텍
033560,블루콤
191600,블루탑
369370,블리츠웨이스튜디오
126340,비나텍
121800,비덴트
082800,비보존 제약
318410,비비씨
002070,비비안
100220,비상교육
419540,비스토스
146320,비씨엔씨
200780,비씨월드제약
413640,비아이매트릭스
141000,비아트론
090460,비에이치
083650,비에이치아이
139050,BF랩스
445360,비엔케이제1호스팩
473370,비엔케이제2호스팩
065170,비엘팜텍
086670,비엠티
335890,비올
230980,비유테크놀러지
126600,BGF에코머티리얼즈
082920,비츠로셀
054220,비츠로시스
042370,비츠로테크
050090,비케이홀딩스
148780,비큐AI
307870,비투엔
032850,비트컴퓨터
238200,비피도
093190,빅솔론
065450,빅텍
044480,빌리언스
005180,빙그레
069540,빛과전자
072950,빛샘전자
266170,뿌리깊은나무들
451250,삐아
143240,사람인
466410,사이냅소프트
003960,사조대림
008040,사조동아원
007160,사조산업
014710,사조씨푸드
006090,사조오양
452430,사피엔반도체
419120,산돌
062040,산일전기
122350,삼기
419050,삼기이브이
014970,삼륭물산
018310,삼목에스폼
012210,삼미금속
053700,삼보모터스
009620,삼보산업
023600,삼보판지
001470,삼부토건
028050,삼성E&A
448730,삼성FN리츠
006405,삼성SDI우
006400,삼성SDI
006660,삼성공조
425290,삼성스팩6호
439250,삼성스팩7호
448740,삼성스팩8호
468510,삼성스팩9호
02826K,삼성물산우B
028260,삼성물산
207940,삼성바이오로직스
032830,삼성생명
018260,삼성에스디에스
009155,삼성전기우
009150,삼성전기
005935,삼성전자우
005930,삼성전자
001360,삼성제약
010140,삼성중공업
016360,삼성증권
068290,삼성출판사
029780,삼성카드
000815,삼성화재우
000810,삼성화재
006110,삼아알미늄
009300,삼아제약
145995,삼양사우
145990,삼양사
003230,삼양식품
482630,삼양엔씨켐
002170,삼양통상
272550,삼양패키징
000075,삼양홀딩스우
000070,삼양홀딩스
060310,3S
002810,삼영무역
003720,삼영
361670,삼영에스앤씨
054540,삼영엠텍
065570,삼영이엔씨
005680,삼영전자
023000,삼원강재
004380,삼익THK
002450,삼익악기
032280,삼일
002290,삼일기업공사
004440,삼일씨엔에스
000520,삼일제약
009770,삼정펄프
037460,삼지전자
032750,삼진
054090,삼진엘앤디
005500,삼진제약
000250,삼천당제약
004690,삼천리
024950,삼천리자전거
038500,삼표시멘트
437730,삼현
017480,삼현철강
010960,삼호개발
046390,삼화네트웍스
004450,삼화왕관
009470,삼화전기
011230,삼화전자
001820,삼화콘덴서
000390,삼화페인트
027580,상보
038540,상상인
452670,상상인제4호스팩
001290,상상인증권
041650,상신브레이크
091580,상신이디피
263810,상신전자
089980,상아프론테크
042940,상지건설
042600,새로닉스
075180,새론오토모티브
107600,새빗켐
411080,샌즈랩
252990,샘씨엔에스
007540,샘표
248170,샘표식품
378800,샤페론
294630,서남
038070,서린바이오
006730,서부T&D
079650,서산
100660,서암기계공업
007860,서연
200880,서연이화
019770,서연탑메탈
017390,서울가스
043710,서울리거
092190,서울바이오시스
046890,서울반도체
004415,서울식품우
004410,서울식품
063170,서울옥션
027040,서울전자통신
018680,서울제약
021050,서원
093920,서원인텍
189860,서전기전
178320,서진시스템
122690,서진오토모티브
140070,서플러스글로벌
011370,서한
065710,서호전기
008490,서흥
035890,서희건설
357550,석경에이티
003100,선광
007610,선도전기
067370,선바이오
217620,선샤인푸드
002820,SUN&L
171090,선익시스템
136490,선진
086710,선진뷰티사이언스
014620,성광벤드
037350,성도이엔지
014915,성문전자우
014910,성문전자
003080,성보화학
004985,성신양회우
004980,성신양회
011300,성안머티리얼스
458650,성우
081580,성우전자
045300,성우테크론
015750,성우하이텍
365340,성일하이텍
000180,성창기업지주
080470,성창오토텍
043260,성호전자
148150,세경하이테크
002420,세기상사
188260,세니젠
053060,세동
340440,세림B&G
017510,세명전기
004365,세방우
004360,세방
004490,세방전지
011560,세보엠이씨
267080,세븐브로이맥주
396300,세아메카닉스
001430,세아베스틸지주
306200,세아제강
003030,세아제강지주
019440,세아특수강
058650,세아홀딩스
013000,세우글로벌
100700,세운메디칼
024830,세원물산
091090,세원이앤씨
021820,세원정공
067830,세이브존I&C
258830,세종메디칼
036630,세종텔레콤
039310,세중
075580,세진중공업
067770,세진티에스
053450,세코닉스
222810,세토피아
252500,세화피앤씨
321370,센서뷰
347000,센코
331920,셀레믹스
471820,셀로맥스사이언스
049180,셀루메드
299660,셀리드
268600,셀리버리
108860,셀바스AI
208370,셀바스헬스케어
318160,셀바이오휴먼텍
308430,셀비온
068270,셀트리온
068760,셀트리온제약
068940,셀피글로벌
060230,소니드
290690,소룩스
950200,소마젠
032680,소프트센
032685,소프트센우
258790,소프트캠프
066910,손오공
33637K,솔루스첨단소재1우
33637L,솔루스첨단소재2우B
336370,솔루스첨단소재
248070,솔루엠
035610,솔본
357780,솔브레인
036830,솔브레인홀딩스
304100,솔트룩스
328380,솔트웨어
004430,송원산업
086980,쇼박스
050960,수산아이앤티
126720,수산인더스트리
017550,수산중공업
084180,수성웹툰
253840,수젠텍
067160,SOOP
298830,슈어소프트테크
236200,슈프리마
094840,슈프리마에이치큐
192440,슈피겐코리아
424960,스마트레이더시스템
099440,스맥
357880,스카이월드와이드
276040,스코넥
159910,스킨앤스킨
204210,스타에스엠리츠
060240,스타코링크
115570,스타플렉스
330730,스톤브릿지벤처스
352090,스톰테크
204630,스튜디오산타클로스
253450,스튜디오드래곤
408900,스튜디오미르
415380,스튜디오삼익
026890,스틱인베스트먼트
013810,스페코
049830,승일
020710,시공테크
033170,시그네틱스
048870,시너지이노베이션
025320,시노펙스
134790,시디즈
269620,시스웍
000480,CR홀딩스
056090,시지메드텍
429270,시지트로닉스
418250,시큐레터
131090,시큐브
232830,시큐센
462870,시프트업
016590,신대양제지
290520,신도기연
029530,신도리코
004970,신라교역
001000,신라섬유
025870,신라에스지
215600,신라젠
065350,신성델타테크
416180,신성에스티
011930,신성이엔지
005390,신성통상
034300,신세계건설
004170,신세계
035510,신세계 I&C
031430,신세계인터내셔날
031440,신세계푸드
006880,신송홀딩스
162300,신스틸
290560,신시웨이
002800,신신제약
005800,신영와코루
001720,신영증권
472220,신영스팩10호
430220,신영스팩8호
445970,신영스팩9호
009270,신원
017000,신원종합개발
002700,신일전자
012790,신일제약
138070,신진에스엠
226330,신테카바이오
002870,신풍
019175,신풍제약우
019170,신풍제약
481850,신한글로벌액티브리츠
055550,신한지주
404990,신한서부티엔디리츠
293940,신한알파리츠
418210,신한제10호스팩
452980,신한제11호스팩
474660,신한제12호스팩
474930,신한제13호스팩
487360,신한제14호스팩
487830,신한제15호스팩
056700,신화인터텍
187270,신화콘텍
004080,신흥
243840,신흥에스이씨
257720,실리콘투
222800,심텍
036710,심텍홀딩스
160980,싸이맥스
356890,싸이버원
217330,싸이토젠
102280,쌍방울
004770,써니전자
217320,썬테크
208640,썸에이지
222420,쎄노텍
037760,쎄니트
099320,쎄트렉아이
049960,쎌바이오텍
088280,쏘닉스
403550,쏘카
050890,쏠리드
394800,쓰리빌리언
177900,쓰리에이로직스
475400,씨메스
013720,CBI
109670,씨싸이트
066790,씨씨에스
222080,씨아이에스
004920,씨아이테크
236030,씨알푸드
103660,씨앗
352480,씨앤씨인터내셔널
245450,씨앤에스링크
023460,CNH
264660,씨앤지하이테크
352700,씨앤투스
056730,CNT85
458870,씨어스테크놀로지
065770,CS
297090,씨에스베어링
083660,CSA 코스믹
112610,씨에스윈드
900120,씨엑스아이
359090,씨엔알리서치
115530,씨엔플러스
115480,씨유메디칼
340810,씨유박스
376290,씨유테크
189330,씨이랩
000120,CJ대한통운
311690,CJ 바이오사이언스
079160,CJ CGV
035760,CJ ENM
097955,CJ제일제당 우
097950,CJ제일제당
051500,CJ프레시웨이
096530,씨젠
083790,CG인바이츠
101240,씨큐브
060590,씨티씨바이오
308170,씨티알모빌리티
260930,씨티케이
413630,씨피시스템
013990,아가방컴퍼니
123860,아나패스
025980,아난티
008700,아남전자
125210,아모그린텍
002795,아모레G우
00279K,아모레G3우(전환)
002790,아모레G
090435,아모레퍼시픽우
090430,아모레퍼시픽
052710,아모텍
074430,아미노로직스
092040,아미코젠
083930,아바코
149950,아바텍
036010,아비코전자
002030,아세아
183190,아세아시멘트
002310,아세아제지
050860,아세아텍
012170,아센디오
136410,아셈스
246720,아스타
450950,아스테라시스
067390,아스트
159010,아스플로
127710,아시아경제
267850,아시아나IDT
020560,아시아나항공
227610,아우딘퓨쳐스
143160,아이디스
054800,아이디스홀딩스
332370,아이디피
122900,아이마켓코리아
339950,아이비김영
469750,아이비젼웍스
439730,IBKS제20호스팩
442770,IBKS제21호스팩
448760,IBKS제22호스팩
467930,IBKS제23호스팩
469480,IBKS제24호스팩
460470,아이빔테크놀로지
099190,아이센스
461300,아이스크림미디어
289010,아이스크림에듀
214430,아이쓰리시스템
040910,아이씨디
368600,아이씨에이치
456010,아이씨티케이
052860,아이앤씨
464500,아이언디바이스
010780,아이에스동서
095340,ISC
038880,아이에이
307180,아이엘사이언스
101390,아이엠
461030,아이엠비디엑스
052220,iMBC
456570,아이엠지티
451220,아이엠티
447690,아이오바이오
090150,아이윈
123010,아이윈플러스
031310,아이즈비전
462980,아이지넷
185490,아이진
059100,아이컴포넌트
149010,아이케이세미콘
262840,아이퀘스트
175250,아이큐어
052460,아이크래프트
119830,아이텍
052770,아이톡시
124500,아이티센
010280,아이티센엔텍
243870,아이티센코어
372800,아이티아이즈
084850,아이티엠반도체
114840,아이패밀리에스씨
139990,아주스틸
027360,아주IB투자
032080,아즈텍WB
013310,아진산업
059120,아진엑스텍
009320,아진전자부품
203690,아크솔루션스
158430,아톤
200350,아티스트스튜디오
321820,아티스트유나이티드
149300,아퓨어스
102950,아하
001540,안국약품
053800,안랩
251280,안지오랩
065660,안트로젠
297570,알로이스
001780,알루코
260660,알리코제약
354320,알멕
361570,알비더블유
131370,알서포트
140670,알에스오토메이션
327260,RF머트리얼즈
096610,알에프세미
474610,RF시스템즈
218410,RFHIC
061040,알에프텍
148250,알엔투테크놀로지
347860,알체라
196170,알테오젠
123750,알톤
085810,알티캐스트
043100,알파녹스
117670,알파홀딩스
314140,알피바이오
291650,압타머사이언스
293780,압타바이오
018250,애경산업
161000,애경케미칼
390110,애니메디솔루션
196300,애니젠
310200,애니플러스
299910,애닉
179530,애드바이오텍
900100,애머릿지
205500,액션스퀘어
052790,액토즈소프트
290740,액트로
238090,앤디포스
092600,앤씨앤
129890,앱코
174900,앱클론
270520,앱트뉴로사이언스
255440,야스
030960,양지사
102120,어보브반도체
238120,얼라인드
224810,엄지하우스
019990,에너토크
011090,에넥스
270660,에브리봇
038680,에스넷
137310,에스디바이오센서
217480,에스디생명공학
121890,에스디시스템
099220,SDN
304360,에스바이오메딕스
289080,SV인베스트먼트
389500,에스비비테크
019550,SBI인베스트먼트
034120,SBS
042110,에스씨디
036120,SCI평가정보
246960,SCL사이언스
298060,에스씨엠생명과학
065420,에스아이리소스
270210,에스알바이오텍
103230,에스앤더블류
260970,에스앤디
101490,에스앤에스텍
095910,에스에너지
275630,에스에스알
419530,SAMG엔터
031330,에스에이엠티
351320,에스에이티이엔지
060540,에스에이티
056190,에스에프에이
036540,SFA반도체
091340,S&K폴리텍
005850,에스엘
246250,에스엘에스바이오
258540,에스엘테라퓨틱스
063440,SM Life Design
010580,에스엠벡셀
041510,에스엠
048550,SM C&C
007820,에스엠코어
464080,에스오에스랩
109610,에스와이
365330,에스와이스틸텍
012750,에스원
306040,에스제이그룹
033530,SJG세종
217910,에스제이켐
004060,SG세계물산
016250,SGC E&C
049470,SGA
184230,SGA솔루션즈
040610,SG&G
255220,SG
398120,에스지헬스케어
006125,SK디스커버리우
006120,SK디스커버리
302440,SK바이오사이언스
326030,SK바이오팜
475150,SK이터닉스
457940,에스케이증권제10호스팩
472230,에스케이증권제11호스팩
473000,에스케이증권제12호스팩
473950,에스케이증권제13호스팩
435870,에스케이증권제8호스팩
455910,에스케이증권제9호스팩
000660,SK하이닉스
475660,에스켐
096630,에스코넥
069510,에스텍
234300,에스트래픽
039440,에스티아이
098660,에스티오
